Topic,Standards,Page,Excerpt
1. Guiding Principles & Concepts,PMBOK 7,53,"PMBOK 7 adopts a principles-based approach. It defines 12 guiding principles (e.g. stewardship, collaboration, stakeholder engagement, focus on value) that shape project management behaviors. These principles are broad, non-prescriptive guidelines intended to steer decision-making and outcomes, emphasizing value and alignment with ethics rather than enforcing rigid rules."
1. Guiding Principles & Concepts,PRINCE2,39,"PRINCE2 is built on seven mandatory principles (continued business justification, learning from experience, defined roles, manage by stages, manage by exception, focus on products, tailor to project). These principles must be applied in every project to preserve the method’s integrity. They offer flexibility in applying PRINCE2’s themes and processes to each project context while ensuring the method remains consistent."
1. Guiding Principles & Concepts,ISO 21500,13,"ISO 21500 does not list “principles” like PMBOK or PRINCE2 but outlines core concepts guiding project management. It emphasizes strategic alignment to organizational objectives, continuous business justification, stakeholder engagement, clear roles, proportionate governance, and continuous improvement. These concepts are intended to shape the mindset for project governance and management rather than prescribe detailed processes."
1. Guiding Principles & Concepts,ISO 21502,12,"ISO 21502 provides a practice-based framework for project management. It structures its guidance around integrated project management practices (e.g., directing, controlling, closing) and subject-specific practices (e.g., scope, risk, stakeholders). While it does not formally label them as ""principles,"" its philosophy is embedded in foundational concepts such as the integration of practices into a cohesive system, the critical impact of a project's context, and the need to balance interrelated constraints. These concepts emphasize that project management is a tailored, systemic endeavor focused on achieving objectives and delivering value within a specific organizational and environmental context, providing a flexible foundation rather than a prescriptive process model."
2. Tailoring,PMBOK 7,221,"PMBOK 7 places strong emphasis on tailoring. It defines tailoring as the deliberate adaptation of the project management approach, governance, and processes to fit the project’s unique environment. Teams are encouraged to apply “just enough” process, adjusting development approaches, levels of oversight, and tools to the project context. Tailoring is seen as necessary for every project to maximize value and efficiency."
2. Tailoring,PRINCE2,48,"In PRINCE2 the principle “Tailor to suit the project” makes customization mandatory. PRINCE2 is applied and tailored for each project’s size, complexity, and context. The project manager (with board approval) adjusts terminology, processes, documentation and controls (e.g. reporting frequency, roles) so the method fits the project while retaining the method’s core governance. Effective tailoring is required for a “fit-for-purpose” approach."
2. Tailoring,ISO 21500,13,"ISO 21500 advises that project management should be proportionate to the project and tailored accordingly. It explicitly states that “ways of working should be tailored to maximize the likelihood of success”. In practice, this means the governance framework, processes and plans are scaled to suit the project’s scope, complexity, and risk rather than applying a one-size-fits-all approach."
2. Tailoring,ISO 21502,26,"ISO 21502 states that the project management approach should be tailored and applied considering the organization’s needs, prevailing risk, and project-specific considerations. "
3. Governance & Oversight Structure,PMBOK 7,43,"PMBOK addresses Organizational Governance Systems. Governance systems establish a framework with functions and processes that guide activities. This framework is designed to work alongside the value delivery system to enable smooth workflows, manage issues, and support decision making."
3. Governance & Oversight Structure,PRINCE2,93,"In the PRINCE2, the Organizing Practice defines and establishes the project’s structure of accountability and responsibilities (the ‘who’). This structure must clearly define roles, responsibilities, and relationships that effectively engage the three principal categories of project stakeholders: the business, the user, and the supplier. These three interests are brought together on the Project Board, which holds the overall accountability for the success of the project"
3. Governance & Oversight Structure,ISO 21500,13,"ISO 21500 highlights Integrated governance and management approaches. Governance is defined as necessary for authorizing, directing, empowering, overseeing, and limiting the management of projects, programmes, and portfolios"
3. Governance & Oversight Structure,ISO 21502,17,"ISO 21502 specifically addresses Project governance in Section 4.3. Project governance encompasses the principles, policies, and frameworks used by an organization to direct, authorize, and control the project based on an agreed business case.
Project governance should be an integrated part of the sponsoring organization’s overall governance framework"
"4. Roles, Accountability, & Team Management",PMBOK 7,109,"The standard emphasizes the development of the Team Performance Domain, which addresses activities related to the people delivering the project. This is guided by Principle 3.2: to Create a Collaborative Project Team Environment. The goal of this domain is to establish the culture and environment necessary to enable diverse individuals to evolve into a high-performing project team. While leadership activities should be practiced by all project team members, management activities may be centralized or distributed; in centralized environments, accountability (being answerable for an outcome) is typically assigned to a single individual, such as the project manager."
"4. Roles, Accountability, & Team Management",PRINCE2,43,"The People element (Chapter 3) is considered central to the method. The purpose of the Organizing Practice (6) is to define and establish the project’s structure of accountability and responsibilities (the ‘who’). This is reinforced by Principle 2.3: Define roles, responsibilities, and relationships, which mandates that this organizational structure must engage the three principal categories of project stakeholders: the business, user, and supplier communities. This structure should ensure that roles have the necessary authority, responsibility, and knowledge to make decisions in a timely manner"
"4. Roles, Accountability, & Team Management",ISO 21500,7,"While ISO 21500 focuses on overall governance and context, it establishes the foundation for accountability by defining the governing body (3.5) as the entity accountable for the governance of an organization. Governance (4.6) itself is necessary for authorizing, directing, empowering, overseeing, and limiting the management of projects. This function inherently requires the definition of organizational roles and the allocation of responsibilities necessary to carry out this direction and oversight."
"4. Roles, Accountability, & Team Management",ISO 21502,18,"This standard defines the Project organization and roles (4.5) as a temporary structure that specifies clear reporting lines and defines roles, responsibilities, and authorities in the project. Key roles include the Project Sponsor (4.5.4), who is responsible for obtaining the resources and executive decisions to enable success, and the Project Manager (4.5.6). Additionally, the standard addresses the Competencies of project personnel (4.6), noting that the project organization should ensure project personnel possess the necessary capabilities."
5. Stakeholder Engagement & Communication,PMBOK 7,158,"PMBOK 7 highlights stakeholder engagement as a performance domain. It defines stakeholders broadly and stresses proactively identifying, analyzing, and engaging them from start to finish. It advocates two-way communication and relationship-building so that stakeholders’ interests and concerns are understood and addressed, increasing the likelihood of project success."
5. Stakeholder Engagement & Communication,PRINCE2,55,"PRINCE2 formalizes stakeholder involvement in governance. It defines three primary stakeholder interests (Business, User, Supplier) and ensures each is represented (e.g., on the project board). PRINCE2 also requires a Communication Management Approach that specifies how and when stakeholders will be informed and consulted, ensuring stakeholders remain aligned with project objectives."
5. Stakeholder Engagement & Communication,ISO 21500,11,"ISO 21500 defines a Stakeholder (3.18) as any person, group or organization that has interests in, or can affect, be affected by, or perceive itself to be affected by, any aspect of the project. Furthermore, adopting an integrated governance and management approach (4.6) is crucial for facilitating communication"
5. Stakeholder Engagement & Communication,ISO 21502,48,"This standard details the specific management practices required to manage stakeholder relationships and communication throughout the project lifecycle. Stakeholder engagement (7.12) is a specific management practice aimed at enabling the needs, interests and concerns of stakeholders to be identified, understood and addressed sufficiently to enable the objectives to be met. This process involves identifying stakeholders and their interests (7.12.2) and conducting planned engagement activities (7.12.3). Communication management (7.13) covers planning communication (7.13.2) and monitoring the impact of communications (7.13.4), confirming that stakeholder interactions are effective and contribute to project success."
6. Quality Management,PMBOK 7,79,"Principle 3.8 is Build Quality into Processes and Deliverables. The Delivery Performance Domain (2.6) focuses on meeting quality expectations, using metrics and acceptance criteria based on requirements"
6. Quality Management,PRINCE2,147,The Quality Practice (8) documents user requirements and establishes the means by which they will be met. The practice ensures that products meet the user’s quality expectations and acceptance criteria
6. Quality Management,ISO 21500,13,Quality is a guiding concept: work should be appropriately planned and quality should be actively managed
6. Quality Management,ISO 21502,45,"Quality management (7.11) increases the likelihood that outputs are fit for purpose or use. Includes planning, assuring (7.11.3), and controlling quality (7.11.4)"
